Date,Open,High,Low,Close,Adj Close,Volume
2018-02-15,75.449997,79.209999,75.449997,79.209999,78.771927,1219100
2018-02-16,80.099998,81.230003,77.059998,78.610001,78.175247,1093400
2018-02-19,79.589996,82.260002,79.099998,82.260002,81.805069,884400
2018-02-20,81.449997,83.000000,80.129997,82.989998,82.531021,945900
2018-02-21,83.050003,83.900002,79.510002,79.540001,79.100105,2605000
2018-02-22,80.599998,81.800003,80.070000,81.419998,80.969704,1133100
2018-02-23,86.050003,87.440002,85.199997,86.989998,86.508904,5886600
2018-02-26,87.279999,94.320000,87.010002,94.320000,93.798363,3008200
2018-02-27,93.900002,94.800003,91.050003,91.500000,90.993958,2922000
2018-02-28,91.010002,93.000000,89.290001,91.050003,90.546455,1610300
2018-03-01,91.050003,92.800003,89.849998,92.180000,91.670197,1659200
2018-03-02,91.300003,93.000000,90.239998,92.839996,92.326538,1289900
2018-03-05,92.699997,92.839996,89.959999,90.400002,89.900040,1177000
2018-03-06,91.330002,91.930000,88.510002,89.180000,88.686790,1070200
2018-03-07,89.349998,90.029999,87.690002,90.029999,89.532082,705100
2018-03-08,89.000000,89.260002,86.199997,88.239998,87.751991,1770400
2018-03-09,88.239998,92.150002,87.489998,90.699997,90.198380,2290100
2018-03-12,92.199997,93.500000,91.099998,92.580002,92.067986,1209500
2018-03-13,93.000000,93.699997,90.129997,91.550003,91.043686,1479300
2018-03-14,91.680000,92.190002,89.099998,89.699997,89.203911,1369800
2018-03-15,89.300003,91.500000,88.610001,91.000000,90.496719,1029100
2018-03-16,91.300003,93.000000,90.519997,92.699997,92.187317,1748200
2018-03-19,90.800003,91.900002,89.629997,90.699997,90.198380,994600
2018-03-20,91.500000,92.129997,89.900002,90.000000,89.502251,886100
2018-03-21,90.410004,93.000000,90.010002,93.000000,92.485664,1347400
2018-03-22,93.120003,95.879997,92.000000,95.389999,94.862442,1636700
2018-03-23,95.019997,96.730003,94.500000,94.800003,94.275703,1259500
2018-03-26,96.000000,100.000000,95.629997,100.000000,99.446945,2439200
2018-03-27,100.650002,101.680000,96.250000,96.699997,96.165192,3717800
2018-03-28,96.489998,98.339996,95.089996,97.000000,96.463539,1649300
2018-03-29,98.160004,98.930000,97.099998,97.910004,97.368507,897800
2018-04-02,98.500000,99.900002,96.940002,97.919998,97.378448,1273400
2018-04-03,98.870003,99.459999,97.000000,97.000000,96.463539,1422100
2018-04-04,97.000000,97.000000,92.019997,96.500000,95.966309,1901000
2018-04-05,99.339996,99.400002,97.599998,98.690002,98.144196,1111500
2018-04-06,98.500000,99.000000,97.400002,98.099998,97.557457,988400
2018-04-09,98.099998,98.989998,95.029999,96.629997,96.095581,1126100
2018-04-10,98.000000,98.099998,93.519997,94.900002,94.375160,1828500
2018-04-11,94.500000,96.870003,93.629997,96.870003,96.334259,1167700
2018-04-12,96.010002,100.599998,96.010002,99.510002,98.959656,1647000
2018-04-13,98.650002,99.080002,97.500000,98.250000,97.706627,638600
2018-04-16,98.239998,99.330002,95.809998,96.169998,95.638130,1575100
2018-04-17,97.099998,97.589996,96.040001,97.000000,96.463539,797500
2018-04-18,97.989998,98.120003,95.330002,95.699997,95.170723,1518800
2018-04-19,96.309998,96.529999,93.989998,94.379997,93.858025,1067200
2018-04-20,94.139999,97.639999,94.010002,96.910004,96.374039,1297800
2018-04-23,97.099998,99.900002,96.269997,99.870003,99.317673,1263200
2018-04-24,99.699997,102.000000,99.050003,101.110001,100.550804,1205400
2018-04-25,99.980003,101.790001,98.540001,101.440002,100.878990,903200
2018-04-26,101.389999,104.900002,100.889999,104.500000,103.922058,1153700
2018-04-27,104.989998,106.800003,103.660004,105.300003,104.717644,2156800
2018-04-30,105.199997,107.769997,105.110001,106.709999,106.119835,938100
2018-05-02,107.000000,107.239998,102.500000,102.500000,101.933121,1444400
2018-05-03,103.320000,103.739998,96.739998,97.199997,96.662430,3005500
2018-05-04,98.000000,99.989998,95.699997,97.699997,97.159668,1932900
2018-05-07,98.529999,99.669998,96.650002,96.849998,96.314369,1235000
2018-05-08,104.650002,110.989998,102.400002,110.989998,110.376167,5157700
2018-05-09,111.000000,114.400002,108.000000,112.629997,112.007095,2566300
2018-05-10,112.629997,114.500000,109.500000,109.500000,108.894409,1915600
2018-05-11,109.500000,111.190002,106.699997,108.650002,108.049110,1449100
2018-05-14,109.599998,110.680000,105.410004,108.150002,107.551880,1485100
2018-05-15,108.150002,110.540001,105.800003,106.470001,105.881172,1673800
2018-05-16,106.050003,114.230003,106.050003,112.209999,111.589424,2153100
2018-05-17,112.199997,113.410004,107.430000,109.349998,108.745239,1673800
2018-05-18,108.000000,108.050003,102.500000,105.089996,104.508797,3304700
2018-05-21,108.699997,111.059998,108.169998,109.529999,108.924240,1541500
2018-05-22,110.050003,114.010002,109.430000,114.000000,113.369514,1904300
2018-05-23,112.459999,113.290001,110.019997,111.879997,111.261246,1415000
2018-05-24,109.000000,113.500000,108.010002,112.989998,112.365105,1557600
2018-05-25,113.220001,113.900002,111.660004,112.000000,111.380585,1686600
2018-05-28,110.300003,111.129997,104.000000,105.000000,104.419296,2426400
2018-05-29,108.000000,110.290001,103.660004,104.489998,103.912109,2558800
2018-05-30,106.199997,110.000000,105.089996,108.419998,107.820381,11290100
2018-06-01,110.879997,115.970001,109.519997,115.470001,114.831390,2791900
2018-06-04,116.510002,126.000000,116.510002,124.339996,123.652328,3458100
2018-06-05,120.930000,122.400002,119.000000,121.019997,120.350693,2221900
2018-06-06,120.699997,120.699997,114.040001,114.330002,113.697701,2354700
2018-06-07,113.389999,113.389999,95.320000,106.400002,105.811554,5152400
2018-06-08,109.389999,109.699997,99.500000,105.489998,104.906578,3548400
2018-06-11,107.570000,110.779999,105.110001,106.220001,105.632553,1840000
2018-06-12,107.500000,111.870003,106.449997,110.000000,109.391647,2494100
2018-06-13,111.320000,113.500000,108.620003,112.410004,111.788315,2177500
2018-06-14,113.000000,121.000000,113.000000,119.400002,118.739662,3460900
2018-06-15,121.000000,121.349998,115.050003,119.820000,119.157333,2347600
2018-06-18,118.400002,119.500000,116.019997,117.779999,117.128616,1208900
2018-06-19,116.410004,124.839996,115.279999,123.660004,122.976097,2339500
2018-06-20,125.120003,129.490005,121.690002,121.690002,121.016998,2384200
2018-06-21,122.000000,125.230003,121.070000,121.610001,120.937439,1678800
2018-06-22,124.000000,124.669998,121.879997,122.809998,122.130791,1054200
2018-06-25,123.510002,124.349998,120.250000,122.750000,122.071129,2303800
2018-06-26,123.480003,125.169998,122.199997,123.739998,123.055649,1590600
2018-06-27,123.889999,124.500000,121.209999,121.529999,120.857872,1024000
2018-06-28,121.529999,125.209999,121.529999,123.550003,122.866707,1266400
2018-06-29,125.000000,128.600006,124.699997,127.989998,127.282150,1774800
2018-07-02,127.199997,128.899994,125.099998,125.430000,124.736313,1021100
2018-07-03,126.800003,127.800003,123.790001,124.529999,123.841286,2109600
2018-07-04,125.639999,126.400002,123.800003,124.349998,123.662277,571000
2018-07-05,125.000000,125.000000,119.360001,120.000000,119.336342,1403500
2018-07-06,121.000000,122.199997,115.820000,121.699997,121.026932,1722500
2018-07-10,123.000000,123.900002,117.639999,118.050003,117.397125,1973900
2018-07-11,117.010002,120.290001,113.489998,114.510002,113.876701,1300800
2018-07-12,118.000000,123.370003,116.139999,123.370003,122.687698,2142300
2018-07-13,123.599998,127.510002,122.879997,125.639999,124.945145,1711500
2018-07-16,126.000000,128.710007,125.120003,127.739998,127.033531,1177500
2018-07-17,127.599998,132.369995,127.080002,132.000000,131.269974,1612500
2018-07-18,132.770004,135.000000,126.540001,126.949997,126.247902,1945000
2018-07-19,127.260002,128.990005,124.000000,128.970001,128.256744,1675100
2018-07-20,132.000000,132.789993,129.199997,130.970001,130.245667,1278600
